,zipcode,num_felony,num_violation,num_misdemeanor,most_freq_ofns_desc,most_freq_loc_occur,most_freq_prem_type,most_freq_susp_age_group,most_freq_susp_race,most_freq_susp_sex,most_freq_vic_age_group,most_freq_vic_race,most_freq_vic_sex,pop_est,num_total_crimes
136,11365,619,303,904,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,ASIAN / PACIFIC ISLANDER,F,44983.0,1826
137,11366,194,85,251,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,25-44,WHITE,M,14650.0,530
138,11367,523,308,905,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE,F,41824.0,1736
139,11368,1854,740,2388,ASSAULT 3 & RELATED OFFENSES,INSIDE,STREET,UNKNOWN,WHITE HISPANIC,M,25-44,WHITE HISPANIC,M,112425.0,4982
140,11369,740,317,1574,PETIT LARCENY,INSIDE,STREET,UNKNOWN,WHITE HISPANIC,M,UNKNOWN,WHITE HISPANIC,M,34118.0,2631
141,11370,412,145,547,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE HISPANIC,M,32514.0,1104
142,11372,1305,501,1977,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE HISPANIC,M,61844.0,3783
143,11373,1768,672,3172,PETIT LARCENY,INSIDE,STREET,UNKNOWN,WHITE HISPANIC,M,UNKNOWN,WHITE HISPANIC,M,93967.0,5612
144,11374,521,245,1092,PETIT LARCENY,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,M,UNKNOWN,UNKNOWN,D,42653.0,1858
145,11375,715,352,1722,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,UNKNOWN,UNKNOWN,M,73488.0,2789
146,11377,1316,566,1937,PETIT LARCENY,INSIDE,STREET,UNKNOWN,WHITE HISPANIC,M,25-44,WHITE HISPANIC,M,86421.0,3819
147,11378,602,234,704,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE,M,37279.0,1540
148,11379,350,171,516,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE,M,37851.0,1037
149,11385,1540,615,2148,PETIT LARCENY,INSIDE,STREET,UNKNOWN,WHITE HISPANIC,M,25-44,WHITE HISPANIC,M,106717.0,4303
150,11411,225,159,457,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,20930.0,841
151,11412,526,287,752,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,37458.0,1565
152,11413,690,357,931,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,42443.0,1978
153,11414,380,181,460,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,U,25-44,WHITE,F,29219.0,1021
154,11415,181,103,307,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,U,25-44,WHITE,M,19372.0,591
155,11416,390,250,549,HARRASSMENT 2,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,ASIAN / PACIFIC ISLANDER,M,27125.0,1189
156,11417,596,276,830,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,25-44,ASIAN / PACIFIC ISLANDER,F,31927.0,1702
157,11418,658,327,1135,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE HISPANIC,M,38517.0,2120
158,11419,908,456,1405,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,25-44,ASIAN / PACIFIC ISLANDER,M,49618.0,2769
159,11420,869,417,1194,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,25-44,ASIAN / PACIFIC ISLANDER,M,48489.0,2480
160,11421,483,286,981,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE HISPANIC,F,41002.0,1750
161,11422,400,290,674,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,32082.0,1364
162,11423,594,223,648,HARRASSMENT 2,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,BLACK,M,31400.0,1465
163,11426,182,114,236,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,25-44,ASIAN / PACIFIC ISLANDER,M,20801.0,532
164,11427,311,179,476,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,25-44,BLACK,F,24037.0,966
165,11428,353,181,584,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,18929.0,1118
166,11429,392,278,652,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,31780.0,1322
167,11432,1481,452,2376,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,UNKNOWN,M,62053.0,4309
168,11433,1019,421,1581,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,BLACK,F,36489.0,3021
169,11434,1543,685,2620,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,BLACK,F,65989.0,4848
170,11435,1412,439,1703,PETIT LARCENY,INSIDE,STREET,UNKNOWN,BLACK,M,25-44,BLACK,M,59296.0,3554
171,11436,325,224,430,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,25-44,BLACK,F,20077.0,979
172,11691,1108,896,1703,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,67094.0,3707
173,11692,389,311,588,HARRASSMENT 2,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,BLACK,M,25-44,BLACK,F,20991.0,1288
